Id,result,Name,AgeOfEstablishment,Fund,NumberOfEmployees,AverageIncome,OfficerAverageIncome,RateOfTurnover,Sales,ProfitRatio
360,No,Day-Floyd,0,479,109,274,374,0.85,1589,0.59
361,No,Reed and Sons,43,7503,334,172,272,0.63,2389,0.3
362,No,Carrillo Ltd,21,8270,317,292,392,0.85,6318,0.64
363,No,"Mercer, Cross and Dickerson",22,8924,356,255,355,0.92,5137,0.14
364,No,"Raymond, Hampton and Gomez",40,7697,440,277,377,0.75,1638,0.23
365,No,"Guerrero, Coleman and Mcdonald",25,4202,293,150,250,0.73,2440,0.28
366,No,Spears-Nelson,32,3431,142,208,308,0.99,987,0.53
367,No,Howard LLC,9,364,625,113,213,0.79,2317,0.21
368,No,Wilson and Sons,2,7912,431,267,367,0.99,6041,0.47
369,No,"Reese, Nixon and Jackson",22,5430,448,211,311,0.8,7829,0.63
370,No,Navarro-Lowe,12,1539,125,129,229,0.84,9919,0.35
371,No,Hall-Cohen,8,175,821,182,282,0.97,9751,0.28
372,No,"Lopez, Martinez and Davis",34,421,987,140,240,0.58,259,0.65
373,No,Richmond and Sons,26,2663,521,109,209,0.35,2890,0.2
374,No,Rodriguez-Myers,10,7878,488,92,192,0.75,9657,0.32
375,No,Macdonald-Johnson,28,7541,793,173,273,0.29,2573,0.17
376,No,"Clark, Vazquez and Wilson",25,9198,966,175,275,0.61,2776,0.49
377,No,Parker PLC,3,9179,939,177,277,0.33,5035,0.29
378,No,"Davis, Larson and Knight",20,1253,646,133,233,0.69,8379,0.14
379,No,Jefferson PLC,4,6632,444,268,368,0.26,527,0.46
380,No,"Burns, Thomas and Hayden",48,9735,66,112,212,0.52,7522,0.52
381,No,"Moore, Edwards and Molina",1,4086,594,95,195,0.26,7242,0.29
382,No,Atkinson LLC,21,2259,49,145,245,0.36,9477,0.26
383,No,White-Pacheco,21,2803,826,172,272,0.37,6790,0.45
384,No,Potts-Lopez,29,9551,718,216,316,0.65,6659,0.24
385,No,Clark-Bailey,47,1031,620,299,399,0.74,1525,0.48
386,No,Barnes Inc,44,7411,369,75,175,0.99,2117,0.64
387,No,Miller Group,49,9519,617,124,224,0.44,904,0.52
388,No,Gilmore and Sons,39,9307,88,275,375,0.46,1374,0.36
389,No,Navarro-Lewis,39,8512,79,271,371,0.75,2089,0.6
390,No,"Smith, Henson and Odonnell",33,1460,340,147,247,0.85,5600,0.63
391,No,Barker-Moss,50,9554,516,252,352,0.43,2576,0.41
392,No,Smith Ltd,29,6584,966,164,264,0.72,2110,0.43
393,No,"Haas, Sanders and Snyder",29,9634,525,187,287,0.8,7634,0.12
394,No,Wagner LLC,8,2608,857,182,282,0.33,132,0.19
395,No,Dunn PLC,28,5209,565,251,351,0.59,6056,0.4
396,No,"Martin, Morris and Pearson",6,862,626,275,375,0.27,4596,0.15
397,No,Ayala-Dickerson,7,5057,761,150,250,0.64,9013,0.16
398,No,Morales and Sons,18,7271,261,89,189,0.54,8394,0.32
399,No,Flynn-Morrow,28,9481,738,224,324,0.7,6143,0.68
400,No,Sandoval Ltd,23,8265,197,256,356,0.58,8419,0.46
401,No,Young and Sons,18,1229,687,246,346,0.72,1622,0.15
402,No,Stevens Ltd,36,5246,437,71,171,0.92,3343,0.23
403,No,"Sims, Anderson and Hayes",37,3905,449,73,173,0.89,5520,0.67
404,No,"Morris, Cain and Molina",16,6557,475,242,342,0.3,7781,0.26
405,No,"Gibson, Riley and Horn",28,6072,819,273,373,0.6,7573,0.56
406,No,Henderson-Pugh,49,1230,500,101,201,0.4,8365,0.1
407,No,"Thompson, Ramos and Grant",35,7862,546,78,178,0.61,3710,0.27
408,No,"Hull, Pena and Walker",11,2945,155,202,302,0.37,8288,0.16
409,No,"Peterson, Cook and Leach",16,341,846,97,197,0.47,1692,0.62
410,No,"Jones, Hernandez and Morris",17,5706,166,128,228,0.88,4568,0.17
411,No,"Goodwin, Young and Torres",24,2755,251,131,231,0.25,476,0.43
412,No,Miller Group,22,5086,610,236,336,0.99,7530,0.54
413,No,Ford-Krause,33,408,173,184,284,0.48,6759,0.54
414,No,Best LLC,4,9959,748,113,213,0.59,4495,0.39
415,No,Jennings-Green,36,8896,762,104,204,0.38,4533,0.1
416,No,"Baker, Jackson and King",45,5050,383,136,236,0.45,9798,0.11
417,No,Blackwell Group,29,8087,973,133,233,0.88,9447,0.33
418,No,Webb-Baird,38,2187,900,299,399,0.72,8372,0.18
419,No,Jacobs PLC,49,7170,527,292,392,0.33,9594,0.64
420,No,Smith-Turner,27,4729,367,114,214,0.41,9033,0.42
421,No,Chase Ltd,4,1764,24,272,372,0.27,8747,0.52
422,No,Garcia Group,48,6038,487,172,272,0.67,303,0.29
423,No,Collins-Torres,36,5381,414,130,230,0.43,8335,0.28
424,No,Andrade-Barr,32,5566,488,78,178,0.61,9696,0.34
425,No,Stephens-King,39,1660,981,259,359,0.92,5607,0.33
426,No,Mccall-Cain,31,2413,551,220,320,0.65,2995,0.12
427,No,"Flores, Campbell and Schaefer",8,2252,838,193,293,0.66,2442,0.17
428,No,Williams-Rivera,0,8913,937,219,319,0.92,1417,0.56
429,No,"Hernandez, Roberts and Dean",32,157,816,180,280,0.55,5915,0.58
430,No,Davenport Ltd,48,5473,464,188,288,0.27,835,0.43
431,No,Perez LLC,12,6955,71,264,364,0.47,6799,0.65
432,No,Morgan Ltd,12,3201,260,226,326,0.87,5303,0.25
433,No,"Burns, Gilmore and Duncan",18,4914,966,158,258,0.91,6401,0.59
434,No,Waters and Sons,3,139,80,228,328,0.57,1949,0.33
435,No,Diaz PLC,50,3676,834,176,276,0.5,8906,0.49
436,No,Cline LLC,10,6781,736,264,364,0.76,2684,0.37
437,No,Olsen-Willis,48,8224,754,166,266,0.91,3756,0.5
438,No,"Ward, Scott and Ford",21,2840,58,138,238,0.87,7228,0.53
439,No,Hawkins-Cooper,5,8134,92,90,190,0.28,509,0.47
440,No,Hess PLC,39,431,769,81,181,0.34,4665,0.3
441,No,Hernandez-Hubbard,43,8736,598,280,380,0.45,5890,0.16
442,No,Delacruz-Estes,14,5687,717,245,345,0.25,7204,0.7
443,No,"Gilmore, Lopez and Hernandez",18,9238,793,232,332,0.44,3301,0.28
444,No,"Hernandez, Torres and Nichols",3,5626,870,258,358,0.44,973,0.58
445,No,"Whitaker, Wilson and Love",49,8089,751,248,348,0.73,5271,0.15
446,No,White Group,10,1949,758,298,398,0.49,9735,0.34
447,No,Ryan PLC,49,6605,587,156,256,0.37,5780,0.23
448,No,King Ltd,42,3291,774,117,217,0.34,6031,0.16
449,No,"Stout, Cox and Vasquez",36,1102,201,263,363,0.85,5633,0.58
450,No,Ramsey Inc,4,1630,679,216,316,0.52,860,0.29
451,No,Huber and Sons,20,7648,799,196,296,0.78,4954,0.54
452,No,"Carter, Jackson and Williams",11,4482,599,184,284,0.99,1877,0.19
453,No,Foster-Arnold,19,2941,514,243,343,0.8,4198,0.51
454,No,Wilson LLC,48,9680,700,200,300,0.86,952,0.41
455,No,Blair and Sons,34,971,105,75,175,0.4,7592,0.37
456,No,Stuart-Whitney,36,608,372,72,172,0.69,6365,0.67
457,No,Powell and Sons,22,1697,249,74,174,0.89,9501,0.14
458,No,"Sparks, Lopez and Trujillo",27,2970,580,80,180,0.61,8912,0.25
459,No,Meyers Inc,23,9690,593,213,313,0.51,5180,0.1
460,No,Newman-Wolf,25,8195,575,234,334,0.88,3155,0.28
461,No,"Walker, Murray and Gill",28,7483,103,92,192,0.99,7812,0.38
462,No,Sanchez-Gray,42,3125,707,98,198,0.52,6340,0.59
463,No,Garner LLC,43,1577,904,284,384,0.63,6788,0.41
464,No,Bright-Young,27,7335,15,144,244,0.62,2344,0.59
465,No,"Spencer, Davis and Hodges",40,6962,379,122,222,1.0,832,0.42
466,No,Patton-Webster,50,8890,447,181,281,0.94,2915,0.67
467,No,Nguyen-Butler,1,3882,747,288,388,0.71,1118,0.22
468,No,Brown-Underwood,12,1592,560,149,249,0.65,2812,0.66
469,No,Miller-Richardson,4,2018,525,275,375,0.48,2834,0.11
470,No,Robinson-Turner,42,3511,809,249,349,0.78,1249,0.61
471,No,Nelson-Petersen,14,9798,476,83,183,0.57,8092,0.48
472,No,Mercado-Hobbs,8,3915,935,233,333,0.37,6117,0.38
473,No,"Walker, Smith and Thomas",7,152,163,232,332,0.25,5997,0.4
474,No,Brandt Group,16,4770,912,236,336,0.84,6618,0.31
475,No,Dorsey-Perkins,17,1238,834,79,179,0.38,6897,0.48
476,No,Morales-Rogers,49,3953,477,236,336,0.56,7540,0.18
477,No,"Collins, Clark and Obrien",24,6546,181,161,261,0.75,6734,0.33
478,No,"Harrison, Bell and Cooper",23,8063,799,174,274,0.88,3064,0.24
479,No,"Farmer, Church and Potts",13,7487,225,246,346,0.25,6343,0.66
480,No,Quinn Inc,27,1935,520,226,326,0.35,9524,0.37
481,No,Murphy-Lee,44,518,806,153,253,0.41,7371,0.49
482,No,Wilson-Christensen,3,5885,348,172,272,0.46,4911,0.33
483,No,"Burgess, Mccoy and Stone",1,8855,967,184,284,0.79,1757,0.63
484,No,Watkins Group,43,5204,91,183,283,0.93,8093,0.25
485,No,Parks Inc,44,5806,968,236,336,0.89,4440,0.7
486,No,Lewis Group,23,5268,816,199,299,0.7,6463,0.53
487,No,Marshall-Howell,43,8974,504,168,268,0.78,438,0.39
488,No,Miller PLC,9,3196,364,97,197,0.69,9345,0.39
489,No,"Richard, Smith and Hernandez",28,6469,620,163,263,0.89,4877,0.38
490,No,Ford-Stone,45,1148,511,141,241,0.31,8261,0.12
491,No,"Skinner, Crane and Horn",36,1553,642,103,203,0.85,920,0.44
492,No,Lozano-Anderson,23,9210,405,213,313,0.64,6365,0.6
493,No,Jackson PLC,41,5272,80,118,218,0.52,732,0.68
494,No,Sullivan Group,18,9522,183,211,311,0.3,891,0.35
495,No,"Carr, Romero and Smith",27,9600,141,188,288,0.92,2830,0.19
496,No,Mcdonald Group,10,8758,532,288,388,0.84,5437,0.24
497,No,Miles-Holmes,21,8870,55,109,209,0.25,1380,0.52
498,No,Nguyen Ltd,50,8096,631,199,299,0.58,2479,0.29
499,No,Wilson PLC,50,2058,612,76,176,0.99,2384,0.11
500,No,Anderson-Davis,28,3241,788,237,337,0.89,622,0.17
501,No,Perez-Sanders,12,1282,119,179,279,0.36,8558,0.58
502,No,Harris-Whitehead,43,4922,174,160,260,0.6,7740,0.59
503,No,Bishop-Cruz,24,7430,501,194,294,0.26,1410,0.26
504,No,"Torres, Ortiz and Miranda",16,3308,875,270,370,0.48,6339,0.6
505,No,Shelton-Hanson,32,5656,956,218,318,0.65,6496,0.32
506,No,Hansen-Evans,1,9479,480,76,176,0.97,5261,0.35
507,No,Henderson-Dickson,4,1182,64,140,240,0.96,7760,0.7
508,No,"Hamilton, Thomas and Eaton",38,3618,647,278,378,0.75,8771,0.38
509,No,Vaughn Ltd,47,9125,73,278,378,0.28,326,0.38
510,No,Johnson-Gonzalez,17,2948,476,138,238,0.39,9101,0.25
511,No,Rice-Hull,10,9312,776,134,234,0.34,2000,0.16
512,No,"Calderon, Rodriguez and Lewis",23,157,530,81,181,0.96,7504,0.31
513,No,Maxwell-Beard,48,1562,375,100,200,0.81,6403,0.49
514,No,Brown Inc,38,3432,652,190,290,0.26,7064,0.22
515,No,Smith-Reynolds,12,5660,772,242,342,0.32,1424,0.48
516,No,Crosby Ltd,46,9591,426,172,272,0.45,4027,0.23
517,No,Perez-Goodman,45,469,928,91,191,0.97,5574,0.63
518,No,Williams LLC,46,2591,309,137,237,0.7,9888,0.39
519,No,Hood-Brewer,17,5869,347,190,290,0.92,8502,0.44
520,No,Stewart-Thomas,19,2688,874,188,288,0.83,3497,0.61
521,No,Washington-Burns,40,9607,777,173,273,0.32,791,0.32
522,No,Murphy PLC,46,4134,204,161,261,0.6,7186,0.61
523,No,Harris Inc,50,475,363,200,300,0.6,6083,0.67
524,No,Massey LLC,50,4739,561,144,244,0.71,1767,0.51
525,No,"Flowers, Mitchell and Snyder",23,7824,643,187,287,0.37,7393,0.7
526,No,Reid Ltd,39,2752,589,163,263,0.82,2709,0.39
527,No,Espinoza Ltd,13,8103,296,229,329,0.35,4333,0.31
528,No,Boyd and Sons,21,7982,669,88,188,0.91,7477,0.5
529,No,Mullins and Sons,17,6985,140,259,359,0.32,6140,0.21
530,No,Andrews-Larson,11,8214,691,241,341,0.37,9122,0.49
531,No,"Williams, Cortez and Martinez",20,2440,466,264,364,0.33,8564,0.27
532,No,Glenn Inc,40,8394,860,128,228,0.7,9456,0.39
533,No,Diaz-Rhodes,19,8140,398,71,171,0.35,4476,0.67
534,No,"Sanders, Grimes and Moore",37,7793,232,84,184,0.37,3585,0.16
535,No,Davis PLC,10,8494,724,106,206,0.59,9141,0.17
536,No,"Jones, Anderson and Price",13,9241,745,136,236,0.31,4586,0.13
537,No,"Bullock, Baker and Suarez",21,321,174,231,331,0.27,4199,0.13
538,No,Collins-Evans,22,2468,31,219,319,0.53,800,0.3
539,No,Wilkins-Lee,45,5191,847,101,201,0.49,7427,0.26
540,No,"Cantrell, Harper and Lee",50,8691,310,224,324,0.45,1336,0.34
541,No,"Nelson, Hill and Jones",32,5664,992,139,239,0.67,2099,0.17
542,No,Nelson PLC,29,8468,748,276,376,0.6,1226,0.37
543,No,"Padilla, Montgomery and Baker",22,9027,900,195,295,0.67,5074,0.47
544,No,"Harrison, Rose and Owens",34,3102,46,99,199,0.31,3727,0.46
545,No,Frost Group,6,3793,92,155,255,0.55,9218,0.52
546,No,Johnson PLC,18,9921,774,97,197,0.27,4028,0.57
547,No,Webster-Cox,48,5677,211,130,230,0.93,5964,0.37
548,No,"Gomez, Cole and Trevino",44,791,367,210,310,0.76,3417,0.59
549,No,"Bush, Daniels and Collins",20,7514,275,228,328,0.83,1161,0.67
550,No,Jensen Ltd,34,5869,894,161,261,0.38,1377,0.25
551,No,"Miller, Coleman and Rodriguez",14,3022,206,121,221,0.49,9190,0.13
552,No,"Cabrera, Chen and Rice",28,5343,629,243,343,0.56,1210,0.56
553,No,Phillips PLC,36,6299,77,214,314,0.45,5011,0.16
554,No,"Ho, Smith and Clark",40,198,846,185,285,0.64,9976,0.53
555,No,Miller-Lawrence,1,6513,77,160,260,0.83,8842,0.45
556,No,Mcguire-Lynn,31,4936,624,110,210,0.92,8144,0.42
557,No,Archer-Black,41,4501,539,294,394,0.62,331,0.18
558,No,Smith-Webster,20,3704,983,283,383,0.59,1388,0.57
559,No,"Williams, Russell and Cook",14,5824,488,147,247,0.26,7164,0.53
560,No,Murray PLC,12,6028,724,261,361,0.96,7542,0.33
561,No,"Wells, Lewis and Cowan",21,8855,500,107,207,0.7,1318,0.6
562,No,Hall-Ferguson,10,4734,306,132,232,0.54,6766,0.24
563,No,"Cook, Jones and Mcclure",4,858,75,124,224,0.77,7028,0.34
564,No,Smith and Sons,36,5812,966,279,379,0.88,4478,0.59
565,No,"Kirby, Zamora and Lewis",30,3696,35,108,208,0.65,5569,0.47
566,No,Roberson-Brown,43,4019,905,94,194,0.38,4064,0.22
567,No,Sherman Ltd,45,4563,195,84,184,0.66,1047,0.43
568,No,"Wagner, Russo and Schwartz",3,4250,914,174,274,0.58,150,0.17
569,No,"Potts, Pope and Sanchez",50,1269,220,148,248,0.44,9927,0.18
570,No,Estrada-Jacobs,14,7998,703,150,250,0.27,8996,0.46
571,No,"Brooks, Sullivan and Johnson",35,6004,922,225,325,0.75,2061,0.59
572,No,Price-Nelson,33,271,764,155,255,0.52,120,0.47
573,No,"Rogers, Bell and Jordan",49,2498,935,203,303,0.39,3333,0.3
574,No,"Mitchell, Hernandez and Young",43,9261,904,298,398,0.98,1195,0.18
575,No,Hodge-Johnson,33,317,412,124,224,0.36,5091,0.28
576,No,Duffy LLC,16,7068,881,279,379,0.75,2065,0.44
577,No,"Huff, Parker and White",36,6698,166,234,334,0.52,2362,0.33
578,No,Garcia PLC,13,9029,225,115,215,0.68,3513,0.44
579,No,"Elliott, Hooper and Garcia",47,3573,974,218,318,0.25,5501,0.23
580,No,Yang-Hunt,11,4883,948,248,348,0.44,8956,0.65
581,No,Wang-Hunter,47,8802,106,78,178,0.34,4958,0.21
582,No,"Moore, Little and Moreno",36,4239,845,135,235,0.68,3295,0.19
583,No,"Benjamin, Trevino and Haley",20,9498,432,282,382,0.94,1540,0.63
584,No,Duncan-Cardenas,10,8929,355,151,251,0.54,4369,0.35
585,No,Gray-Pugh,37,6737,988,300,400,0.48,3403,0.57
586,No,White and Sons,39,7466,361,165,265,0.9,7783,0.48
587,No,"Aguilar, Richards and Johnson",42,8640,770,245,345,0.38,422,0.34
588,No,"Ford, Lawson and Flores",32,3559,481,113,213,0.86,721,0.58
589,No,"Dickerson, Buchanan and Delacruz",5,9467,85,201,301,0.38,2990,0.67
590,No,"Hall, Barr and Martinez",33,2470,658,167,267,0.26,6857,0.21
591,No,Singleton-Fuller,31,7457,15,268,368,0.46,1198,0.14
592,No,Parker-Ali,29,2039,226,156,256,0.59,9676,0.1
593,No,"Fox, Butler and Torres",45,6803,388,276,376,0.7,9171,0.41
594,No,Gutierrez PLC,33,2511,153,204,304,0.84,2296,0.16
595,No,"Glass, Price and Barnett",6,2331,871,89,189,0.84,1907,0.35
596,No,"Simmons, Gomez and Keller",14,884,356,147,247,0.79,671,0.62
597,No,"Navarro, Hernandez and Moore",5,3412,996,274,374,0.98,3334,0.52
598,No,"Scott, Goodwin and Nichols",24,2427,234,135,235,0.29,7538,0.17
599,No,"Mitchell, Phillips and Bryant",48,7339,950,229,329,0.62,2160,0.14
600,No,Patel Inc,12,9557,82,161,261,0.54,2877,0.53
601,No,Boyer-Weber,4,544,917,79,179,0.27,9413,0.67
602,No,"Robinson, Cooley and Meyer",0,9432,992,157,257,0.72,9653,0.25
603,No,Kelley Group,29,132,879,247,347,1.0,5666,0.25
604,No,Dunlap and Sons,38,6637,70,207,307,0.52,7483,0.56
605,No,Jones-Moore,34,4191,625,253,353,0.57,8186,0.17
606,No,Schneider-Young,32,7576,775,213,313,0.83,6927,0.18
607,No,"Payne, Gray and Martinez",7,5712,489,220,320,0.7,2065,0.39
608,No,"Monroe, Gomez and Kelly",4,8928,176,249,349,0.26,7862,0.5
609,No,Landry-Preston,9,9542,435,228,328,0.7,5113,0.54
610,No,"Rhodes, Cooke and Rosales",42,3662,369,70,170,0.46,9610,0.49
611,No,Jones-Thompson,18,4205,430,210,310,0.95,3314,0.25
612,No,"Garza, Jones and Smith",16,9935,122,104,204,0.58,6693,0.67
613,No,Hancock-George,44,3301,517,258,358,0.68,2204,0.11
614,No,Rodriguez and Sons,40,759,857,104,204,0.95,9219,0.25
615,No,Case-Harmon,16,7099,634,274,374,0.96,6260,0.39
616,No,Swanson-Payne,50,1057,639,172,272,0.56,3637,0.53
617,No,Delgado-Eaton,22,3090,324,118,218,0.87,4426,0.31
618,No,Patterson-Barnes,45,1560,461,165,265,0.52,1941,0.62
619,No,"Robinson, Lutz and Palmer",10,4075,118,286,386,0.85,9979,0.16
620,No,"Cox, Soto and Brown",16,8673,223,182,282,0.98,9470,0.26
621,No,"Peterson, Solomon and Warren",33,7564,977,171,271,0.72,6142,0.19
622,No,Ingram PLC,40,4800,359,109,209,0.53,3208,0.43
623,No,"King, Abbott and Sampson",37,8838,900,171,271,0.66,5389,0.61
624,No,"Ritter, Pineda and Peterson",49,414,834,298,398,0.47,5205,0.46
625,No,Barnett-Mcgee,45,694,932,121,221,0.96,6711,0.25
626,No,"Hayden, Fernandez and Lee",19,3248,874,162,262,0.46,9656,0.61
627,No,Foley PLC,39,6811,629,93,193,0.37,119,0.61
628,No,Ramsey PLC,2,8368,555,225,325,0.78,2969,0.33
629,No,"Hunter, Fritz and Ramirez",24,1171,143,207,307,0.6,346,0.56
630,No,Griffin Inc,46,8137,659,225,325,0.93,7708,0.49
631,No,Copeland Group,27,1478,413,276,376,0.63,145,0.57
632,No,"Christian, Richard and Allen",3,5871,77,291,391,0.9,7496,0.27
633,No,Burnett-Flores,8,3381,492,196,296,0.72,5890,0.13
634,No,Reed PLC,13,7087,545,179,279,0.71,8012,0.17
635,No,Harris Inc,8,4813,332,107,207,0.95,2575,0.36
636,No,Brooks Ltd,11,6160,840,88,188,0.52,5378,0.67
637,No,Andrews Inc,36,3969,581,199,299,0.91,8909,0.24
638,No,Cox-Carpenter,11,412,354,227,327,0.72,2956,0.21
639,No,Harris and Sons,41,1944,618,117,217,0.81,9010,0.16
640,No,Powell LLC,37,689,546,239,339,0.93,7724,0.64
641,No,Bell PLC,3,2724,839,190,290,0.57,1447,0.35
642,No,Scott and Sons,2,8604,228,184,284,0.98,5496,0.69
643,No,"Joseph, Francis and Johnson",41,8648,649,244,344,0.63,1702,0.11
644,No,"Nguyen, Blake and Anderson",3,2682,54,90,190,0.72,3583,0.35
645,No,Henry-Alvarez,44,9417,564,137,237,0.41,6371,0.19
646,No,Harris-Robinson,41,8245,228,179,279,0.92,9367,0.28
647,No,Gonzalez Inc,30,7864,82,70,170,0.29,1102,0.5
648,No,"Guzman, Dawson and Crawford",3,4181,234,166,266,0.97,1645,0.1
649,No,Kelly-Smith,41,7336,232,259,359,1.0,9797,0.3
650,No,"Herrera, Martinez and Turner",32,3186,514,210,310,0.8,2591,0.61
651,No,"Duarte, Johnston and Shaw",2,9118,727,149,249,0.93,4635,0.65
652,No,Castro-Garcia,44,6741,598,99,199,0.54,5934,0.6
653,No,"Diaz, Martin and Pena",19,9081,312,75,175,0.37,3987,0.6
654,No,"Davis, Haynes and Harrison",19,5191,843,114,214,1.0,9533,0.15
655,No,Braun LLC,21,778,867,281,381,0.98,4616,0.47
656,No,Hess-Buchanan,29,2947,212,110,210,0.99,2381,0.47
657,No,"Mitchell, Nelson and Carter",13,4492,281,130,230,0.49,4029,0.35
658,No,Mullen-Tanner,49,1468,965,217,317,0.39,6374,0.7
659,No,Robertson Group,41,548,42,280,380,0.32,1792,0.49
660,No,"Beard, Dixon and Moran",8,1736,262,100,200,0.64,6593,0.51
661,No,Sherman Inc,49,7795,188,249,349,0.88,1633,0.18
662,No,Torres-Mullins,6,7177,644,188,288,0.63,4664,0.2
663,No,Martinez-Vaughn,2,5396,195,98,198,0.3,7256,0.29
664,No,"Banks, Brooks and Griffith",10,1242,671,234,334,0.62,4153,0.45
665,No,Koch-Steele,2,3482,785,82,182,0.77,5480,0.37
666,No,"Ramirez, Ferguson and Thomas",14,3538,320,272,372,0.42,2710,0.67
667,No,Roman Group,11,8212,710,277,377,0.85,3906,0.63
668,No,Cruz LLC,50,1029,979,280,380,0.95,4386,0.64
669,No,Simmons LLC,42,2458,475,258,358,0.36,6863,0.58
670,No,Schmidt and Sons,23,3015,368,247,347,0.59,9718,0.64
671,No,Chen Inc,0,5688,104,121,221,0.55,8501,0.32
672,No,Skinner-Schultz,5,8035,198,270,370,0.78,3821,0.42
673,No,"Simmons, Moore and Murphy",36,9699,222,94,194,0.91,8280,0.67
674,No,"Lane, Curtis and Weeks",42,9294,772,173,273,0.89,9545,0.68
675,No,Leonard Group,31,6431,126,116,216,0.32,8072,0.38
676,No,Walter-Simmons,21,9393,503,225,325,0.53,9207,0.12
677,No,"Rivas, Alexander and Cooper",14,2657,24,215,315,0.62,7131,0.64
678,No,"Guzman, Patterson and Carroll",35,4513,761,217,317,0.4,7719,0.24
679,No,Watts LLC,19,6864,934,297,397,0.44,1045,0.45
680,No,Clark PLC,50,9888,658,156,256,0.82,2441,0.19
681,No,Peterson-Richards,47,7441,591,129,229,0.5,7328,0.6
682,No,Duncan PLC,47,8054,871,97,197,0.55,4781,0.26
683,No,"Hall, Kent and Mcclain",10,807,747,203,303,0.72,9293,0.58
684,No,Dixon Inc,34,8115,341,298,398,0.28,5930,0.7
685,No,Wood-Kelly,47,1953,884,191,291,0.39,2549,0.59
686,No,"Jimenez, Gonzalez and Brown",26,2875,290,218,318,1.0,3050,0.67
687,No,Hurst-Vazquez,46,4709,166,80,180,0.88,469,0.51
688,No,Nichols Inc,42,6082,379,267,367,0.34,2840,0.47
689,No,Ross PLC,30,6106,48,186,286,0.56,7327,0.35
690,No,Thomas-Small,46,119,526,111,211,0.94,4809,0.33
691,No,"Martinez, Morrison and Knight",25,4030,692,184,284,0.79,4164,0.65
692,No,White PLC,1,8842,534,78,178,0.98,8917,0.16
693,No,"Hamilton, Johnson and Smith",0,8159,337,234,334,0.38,9205,0.58
694,No,Jones-Strickland,1,5031,403,108,208,0.63,5871,0.66
695,No,Waller and Sons,18,9440,646,151,251,0.54,9165,0.35
696,No,Boyer-Larson,15,5876,379,291,391,0.94,128,0.23
697,No,Singh-Gonzalez,7,751,848,109,209,0.93,3302,0.37
698,No,Bartlett LLC,23,6088,341,140,240,0.55,9844,0.5
699,No,Luna Ltd,11,8069,457,262,362,0.68,4900,0.62
700,No,Howard LLC,24,7077,831,143,243,0.77,6053,0.64
701,No,Gonzales Group,9,1715,324,253,353,0.25,4180,0.33
702,No,Cook-Oneill,40,5516,535,245,345,0.25,3131,0.59
703,No,Wong and Sons,36,4472,114,237,337,0.71,7882,0.61
704,No,Smith Group,34,7428,155,189,289,0.7,3525,0.12
705,No,Williams Group,8,8722,6,87,187,0.59,9767,0.32
706,No,Spencer-Foster,4,4936,940,204,304,0.94,8799,0.43
707,No,"Sullivan, James and Wilson",50,5344,916,272,372,0.53,6698,0.35
708,No,Castro Group,25,1423,995,235,335,0.75,3949,0.7
709,No,Jensen and Sons,9,1003,796,286,386,0.44,6627,0.45
710,No,"Weaver, Nichols and Morgan",37,9331,320,286,386,0.55,7932,0.25
711,No,Cook-Perkins,30,3749,966,152,252,0.79,7594,0.14
712,No,Silva Inc,25,2081,910,222,322,0.7,5615,0.11
713,No,Bowen-Hoover,44,8158,91,195,295,0.89,6894,0.16
714,No,Price-Taylor,28,1271,792,181,281,0.42,9120,0.34
715,No,Hutchinson Ltd,26,7983,11,286,386,0.64,3758,0.62
716,No,"Garcia, Castro and Graves",3,8751,59,221,321,0.29,8460,0.19
717,No,"Baird, Carter and Miller",21,1283,320,122,222,0.28,9590,0.59
718,No,Miller Ltd,5,6226,931,204,304,0.68,1819,0.6
719,No,Hernandez-Sandoval,30,5063,425,224,324,0.59,2915,0.39
720,No,Lane-Owen,40,5841,328,182,282,0.38,1123,0.32
721,No,Haynes and Sons,29,6095,357,177,277,0.73,7931,0.54
722,No,Lee Ltd,7,9206,998,105,205,0.67,9583,0.6
723,No,Smith Ltd,39,8088,352,111,211,0.96,7147,0.14
724,No,Collins-Clark,13,4192,242,121,221,0.99,5034,0.22
725,No,"Myers, Gonzalez and Lawrence",29,5383,889,128,228,0.7,1149,0.43
726,No,"Mcclain, Walker and Guerra",22,9057,759,172,272,0.35,2192,0.42
727,No,Oconnor Ltd,18,3772,734,270,370,0.97,9132,0.47
728,No,Martinez Group,25,5504,245,272,372,0.99,9736,0.11
729,No,Stephens Group,11,8585,842,236,336,0.29,6743,0.33
730,No,"Cohen, Sanford and Morton",42,1004,54,245,345,0.46,2231,0.36
731,No,"Fisher, Aguirre and Giles",5,9288,370,187,287,0.73,8594,0.57
732,No,Boone Group,0,6157,282,237,337,0.98,6284,0.51
733,No,Burns PLC,12,2863,812,77,177,0.73,6539,0.6
734,No,"Curtis, Davis and Mendoza",25,3562,875,291,391,0.49,2627,0.59
735,No,"Brown, Anderson and Newton",12,7030,753,108,208,0.93,8949,0.16
736,No,Johnson-Rowe,50,1176,224,109,209,0.76,5000,0.57
737,No,"Thomas, Morrison and Johnston",41,6370,586,226,326,0.51,3686,0.42
738,No,Roberts-Casey,26,3341,658,119,219,0.67,4796,0.56
739,No,"Walters, Smith and Sanchez",30,703,52,165,265,0.67,1647,0.27
740,No,Barnett LLC,47,7130,869,127,227,0.29,753,0.5
